num_requests,num_buses,num_trip_slots,num_stations,time_limit,mip_gap,scenario,seed,mode,status,objective,served_count,served_requests,trip_count,runtime_seconds,total_charge_time,total_charge_energy
7,1,3,2,300.0,0.0,baseline,7,linear,OPTIMAL,353.640000000001,7,"r1,r2,r3,r4,r5,r6,r7",3,1.8010001182556152,24.565833333332385,35.95
7,1,3,2,300.0,0.0,baseline,7,nonlinear,OPTIMAL,353.6400000000001,7,"r1,r2,r3,r4,r5,r6,r7",3,1.8229999542236328,41.26649999999677,35.95
7,1,3,2,300.0,0.0,partial_recharge,7,linear,OPTIMAL,194.23000000000042,5,"r1,r2,r3,r5,r6",3,3.8910000324249268,17.151666666666276,25.099999999999426
7,1,3,2,300.0,0.0,partial_recharge,7,nonlinear,OPTIMAL,194.23000000000002,5,"r1,r2,r3,r5,r6",3,3.25,14.04249999999999,25.1
7,1,3,2,300.0,0.0,deep_recharge,7,linear,OPTIMAL,165.50960000000032,5,"r1,r2,r3,r4,r7",3,2.7130000591278076,24.470166666666266,35.80999999999941
7,1,3,2,300.0,0.0,deep_recharge,7,nonlinear,OPTIMAL,109.06699999999998,4,"r1,r2,r4,r5",3,2.2790000438690186,11.616666666666667,23.0
